"KommunKod","AntalGiftaKvinnor","AntalGiftaMan","AntalOgiftaKvinnor","AntalOgiftaMan","AntalSkildaKvinnor","AntalSkildaMan","Ankor","Anklingar"
"0114",7099,7196,10319,11918,2774,1899,1140,316
"0115",5773,5778,8028,8938,1635,1203,796,229
"0117",7724,7800,9957,11275,2186,1754,1062,372
"0120",7106,7163,10253,11469,2032,1819,945,320
"0123",12655,12725,17010,19866,4365,3115,2068,625
"0125",5083,5119,6546,7260,1176,961,611,228
"0126",17856,18169,26187,29792,5856,4439,2326,686
"0127",15562,15979,20626,24443,5664,4581,2015,555
"0128",3008,3019,4069,4414,806,564,435,111
"0136",13632,13890,20700,23942,5167,3994,1930,611
"0138",7827,7859,11471,12968,2656,1888,1138,370
"0139",4434,4425,6228,7181,1522,1153,663,183
"0140",1820,1825,2488,2938,435,377,227,82
"0160",13170,13207,15649,17536,3599,2509,2016,595
"0162",6265,6268,7576,8238,1569,1041,1166,298
"0163",12679,12753,16964,18927,3820,2785,1816,507
"0180",127724,129604,259166,279394,58696,40433,22753,5746
"0181",15600,15809,22014,26588,5274,4114,3060,743
"0182",16699,16746,24895,27299,5468,3769,2414,696
"0183",6264,6451,12634,14179,3024,2280,1036,242
"0184",10631,10941,20792,23315,4780,3179,2026,494
"0186",8202,8203,11190,12106,2751,1767,1669,414
"0187",2185,2187,2668,2893,555,464,334,94
"0188",10013,10202,13092,15388,3574,3108,2471,821
"0191",7598,7727,10730,12484,2649,2095,1191,312
"0192",4780,4831,6186,7333,1702,1420,942,306
"0305",3719,3730,4809,5510,1025,863,459,164
"0319",1649,1645,2009,2516,491,468,384,131
"0330",3072,3080,4352,4768,629,556,301,111
"0331",2326,2344,3101,3818,631,611,577,186
"0360",3451,3476,4694,5616,1136,1015,878,281
"0380",32886,32844,57202,61475,10985,7668,5472,1594
"0381",7299,7316,9767,11564,2152,1847,1535,413
"0382",3673,3705,4767,5970,1162,1094,890,302
"0428",1636,1641,1938,2404,428,409,372,125
"0461",1863,1870,2467,2875,572,479,394,129
"0480",9603,9622,12408,14060,3155,2421,2290,703
"0481",2143,2195,2259,2914,757,648,595,190
"0482",3052,3120,3315,4237,932,823,720,241
"0483",5732,5750,7640,8988,1973,1561,1390,428
"0484",16855,16864,24420,28312,6074,4718,3744,1078
