DayofMonth;Weekday;salary_evaluated
23;Monday;OrdinaryWeek
23;Tuesday;OrdinaryWeek
23;Wednesday;OrdinaryWeek
23;Thursday;OrdinaryWeek
23;Friday;SalaryWeekend
23;Saturday;OrdinaryWeek
23;Sunday;OrdinaryWeek
24;Monday;OrdinaryWeek
24;Tuesday;OrdinaryWeek
24;Wednesday;OrdinaryWeek
24;Thursday;OrdinaryWeek
24;Friday;SalaryWeekend
24;Saturday;SalaryWeekend
24;Sunday;OrdinaryWeek
25;Monday;SalaryWeek
25;Tuesday;SalaryWeek
25;Wednesday;SalaryWeek
25;Thursday;SalaryWeek
25;Friday;SalaryWeekend
25;Saturday;SalaryWeekend
25;Sunday;SalaryWeekend
26;Monday;SalaryWeek
26;Tuesday;SalaryWeek
26;Wednesday;SalaryWeek
26;Thursday;SalaryWeek
26;Friday;SalaryWeekend
26;Saturday;SalaryWeekend
26;Sunday;SalaryWeekend
27;Monday;SalaryWeek
27;Tuesday;SalaryWeek
27;Wednesday;SalaryWeek
27;Thursday;SalaryWeek
27;Friday;SalaryWeekend
27;Saturday;SalaryWeekend
27;Sunday;SalaryWeekend
28;Monday;SalaryWeek
28;Tuesday;SalaryWeek
28;Wednesday;SalaryWeek
28;Thursday;SalaryWeek
28;Friday;SalaryWeekend
28;Saturday;SalaryWeekend
28;Sunday;SalaryWeekend
29;Monday;SalaryWeek
29;Tuesday;SalaryWeek
29;Wednesday;SalaryWeek
29;Thursday;SalaryWeek
29;Friday;SalaryWeekend
29;Saturday;SalaryWeekend
29;Sunday;SalaryWeekend
30;Monday;SalaryWeek
30;Tuesday;SalaryWeek
30;Wednesday;SalaryWeek
30;Thursday;SalaryWeek
30;Friday;OrdinaryWeekend
30;Saturday;SalaryWeekend
30;Sunday;SalaryWeekend
31;Monday;SalaryWeek
31;Tuesday;SalaryWeek
31;Wednesday;SalaryWeek
31;Thursday;SalaryWeek
31;Friday;OrdinaryWeekend
31;Saturday;OrdinaryWeekend
31;Sunday;SalaryWeekend
1;Monday;OrdinaryWeek
1;Tuesday;OrdinaryWeek
1;Wednesday;OrdinaryWeek
1;Thursday;OrdinaryWeek
1;Friday;OrdinaryWeekend
1;Saturday;OrdinaryWeekend
1;Sunday;OrdinaryWeek
2;Monday;OrdinaryWeek
2;Tuesday;OrdinaryWeek
2;Wednesday;OrdinaryWeek
2;Thursday;OrdinaryWeek
2;Friday;OrdinaryWeekend
2;Saturday;OrdinaryWeekend
2;Sunday;OrdinaryWeek
3;Monday;OrdinaryWeek
3;Tuesday;OrdinaryWeek
3;Wednesday;OrdinaryWeek
3;Thursday;OrdinaryWeek
3;Friday;OrdinaryWeekend
3;Saturday;OrdinaryWeekend
3;Sunday;OrdinaryWeek
4;Monday;OrdinaryWeek
4;Tuesday;OrdinaryWeek
4;Wednesday;OrdinaryWeek
4;Thursday;OrdinaryWeek
4;Friday;OrdinaryWeekend
4;Saturday;OrdinaryWeekend
4;Sunday;OrdinaryWeek
5;Monday;OrdinaryWeek
5;Tuesday;OrdinaryWeek
